radius	twist	chord	airfoil
0.000951325477	-0.000000000000	0.195000000000	AF0
0.004749387224	-0.000000000000	0.195000000000	AF1
0.012316605175	-0.000000000000	0.149970397419	AF2
0.023595388231	-0.000000000000	0.090000000000	AF3
0.038499898044	-0.020651884783	0.100825087514	AF4
0.056916702295	-0.078128471938	0.130952559775	AF5
0.078705637982	-0.146129067698	0.166596396055	AF6
0.103700878148	-0.224136146469	0.207485325237	AF7
0.131712193924	-0.282127641535	0.238192391685	AF8
0.162526402282	-0.265221447220	0.230752097305	AF9
0.195908988491	-0.237336891820	0.218488100823	AF10
0.231605890912	-0.208805122286	0.206006918921	AF11
0.269345434565	-0.184248179038	0.195514923215	AF12
0.308840398733	-0.160114686817	0.185110669474	AF13
0.349790202893	-0.140430358905	0.175562089205	AF14
0.391883194308	-0.126646840386	0.167433200299	AF15
0.434799019896	-0.114945357839	0.160592498397	AF16
0.478211064313	-0.103108575648	0.153672700147	AF17
0.521788935687	-0.091226578872	0.146726469393	AF18
0.565200980104	-0.082292558299	0.141147008240	AF19
0.608116805692	-0.072064285286	0.135466779357	AF20
0.650209797107	-0.065515381932	0.130646356161	AF21
0.691159601267	-0.059423021744	0.126016472919	AF22
0.730654565435	-0.053547107261	0.121551077382	AF23
0.768394109088	-0.047260641151	0.117272798620	AF24
0.804091011509	-0.041173029313	0.112992363874	AF25
0.837473597718	-0.035476396777	0.108829392278	AF26
0.868287806076	-0.030073055082	0.104846775751	AF27
0.896299121852	-0.024933123905	0.101229841187	AF28
0.921294362018	-0.020146412296	0.098180593253	AF29
0.943083297705	-0.015638526069	0.094959273367	AF30
0.961500101956	-0.011140749871	0.088963931168	AF31
0.976404611769	-0.006935726724	0.073944629235	AF32
0.987683394825	-0.003611417142	0.050911463413	AF33
0.995250612776	-0.001392592685	0.028157626526	AF34
0.999048674523	-0.000278943045	0.008748172727	AF35
